                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1962,                 4.3542,                 3.0408,                0.00093,                0.12222,                0.00424,                0.00042,                  3.127,                 4.2222,                 2.6987,                      0,                      0,                      0
                      2,                 3.0282,                  4.347,                 2.8316,                0.00093,                0.12222,                0.00407,                0.00044,                 3.1212,                 4.2234,                 2.7107,             7.2164e-06,             7.2164e-06,             7.2164e-06
